state,recording_id,common_name,scientific_name,date,time,latitude,longitude,duration_metadata,audio_url,source_url,license,audit_action,audit_reason,flag_short_duration,flag_low_amplitude,flag_clipping,flag_low_quality,flag_any,file_size_bytes,duration_seconds,rms,peak_amplitude,quality,date_original,time_original,datetime_local,source_timezone,has_date,has_time,has_datetime_local,year,month,day_of_year,hour,minute,season,duration_metadata_seconds,duration_difference_seconds,duration_category,species_id
CA,375492,African Collared Dove,Streptopelia roseogrisea,2017-06-14,15:00:00,33.922,-117.2617,0:05,https://xeno-canto.org/375492/download,https://xeno-canto.org/375492,https://creativecommons.org/licenses/by-nc-sa/4.0/,KEEP,none,False,False,False,False,False,132062,5.251678004535147,0.0107154604047536,0.0717808455228805,A,2017-06-14,15:00,2017-06-14 15:00:00,,True,True,True,2017.0,6.0,165.0,15.0,0.0,Summer,5,0.25167800453514744,Short (3–10s),Streptopelia roseogrisea
CA,952203,Allen's Hummingbird,Selasphorus sasin,2024-11-24,08:00:00,33.6104,-117.7392,0:38,https://xeno-canto.org/952203/download,https://xeno-canto.org/952203,https://creativecommons.org/licenses/by-nc-sa/4.0/,KEEP,none,False,False,False,False,False,3709246,38.6325625,0.0114454152062535,0.132171630859375,A,2024-11-24,08:00,2024-11-24 08:00:00,,True,True,True,2024.0,11.0,329.0,8.0,0.0,Fall,38,0.6325624999999988,Long (≥30s),Selasphorus sasin
CA,452094,American Coot,Fulica americana,2018-01-30,12:56:00,33.2016,-115.597,0:18,https://xeno-canto.org/452094/download,https://xeno-canto.org/452094,https://creativecommons.org/licenses/by-nc-sa/4.0/,KEEP,none,False,False,False,False,False,308179,18.96,0.0147459302097558,0.7049420475959778,A,2018-01-30,12:56,2018-01-30 12:56:00,,True,True,True,2018.0,1.0,30.0,12.0,56.0,Winter,18,0.9600000000000009,Medium (10–30s),Fulica americana
CA,172887,American Wigeon,Mareca americana,2012-03-23,09:54:00,32.564,-117.1256,0:11,https://xeno-canto.org/172887/download,https://xeno-canto.org/172887,https://creativecommons.org/licenses/by-nc-sa/4.0/,KEEP,none,False,False,False,False,False,187629,11.424,0.0140055026859045,0.2405557185411453,B,2012-03-23,09:54,2012-03-23 09:54:00,,True,True,True,2012.0,3.0,83.0,9.0,54.0,Spring,11,0.4239999999999995,Medium (10–30s),Mareca americana
CA,449497,Anna's Hummingbird,Calypte anna,2018-10-21,07:46:00,32.686,-117.243,1:50,https://xeno-canto.org/449497/download,https://xeno-canto.org/449497,https://creativecommons.org/licenses/by-nc-sa/4.0/,KEEP,none,False,False,False,False,False,1768222,110.208,0.0242239218205213,0.6600874066352844,A,2018-10-21,07:46,2018-10-21 07:46:00,,True,True,True,2018.0,10.0,294.0,7.0,46.0,Fall,110,0.2079999999999984,Long (≥30s),Calypte anna
CA,807038,Band-tailed Pigeon,Patagioenas fasciata,2023-06-02,08:35:00,39.1855,-120.5591,0:25,https://xeno-canto.org/807038/download,https://xeno-canto.org/807038,https://creativecommons.org/licenses/by-nc-sa/4.0/,KEEP,none,False,False,False,False,False,415683,25.68,0.096295952796936,0.9958348870277404,B,2023-06-02,08:35,2023-06-02 08:35:00,,True,True,True,2023.0,6.0,153.0,8.0,35.0,Summer,25,0.6799999999999997,Medium (10–30s),Patagioenas fasciata
CA,380363,Black Rail,Laterallus jamaicensis,2017-07-18,18:00:00,38.5419,-121.5816,0:24,https://xeno-canto.org/380363/download,https://xeno-canto.org/380363,https://creativecommons.org/licenses/by-nc-sa/4.0/,KEEP,none,False,False,False,False,False,287406,24.663219954648525,0.036958459764719,0.5479575395584106,A,2017-07-18,18:00,2017-07-18 18:00:00,,True,True,True,2017.0,7.0,199.0,18.0,0.0,Summer,24,0.6632199546485253,Medium (10–30s),Laterallus jamaicensis
CA,691650,Black-chinned Hummingbird,Archilochus alexandri,2021-04-26,05:30:00,36.111,-117.1803,0:00,https://xeno-canto.org/691650/download,https://xeno-canto.org/691650,https://creativecommons.org/licenses/by-nc-sa/4.0/,FLAG,short_duration;low_amplitude,True,True,False,False,True,13292,0.696,0.001942892675288,0.0155267128720879,B,2021-04-26,05:30,2021-04-26 05:30:00,,True,True,True,2021.0,4.0,116.0,5.0,30.0,Spring,0,0.696,Very short (<3s),Archilochus alexandri
CA,964245,Blue-winged Teal,Spatula discors,2025-01-16,14:31:00,35.3217,-120.842,0:05,https://xeno-canto.org/964245/download,https://xeno-canto.org/964245,https://creativecommons.org/licenses/by-nc-sa/4.0/,KEEP,none,False,False,False,False,False,1488146,5.166729166666666,0.0587783195078372,0.8219958543777466,B,2025-01-16,14:31,2025-01-16 14:31:00,,True,True,True,2025.0,1.0,16.0,14.0,31.0,Winter,5,0.16672916666666637,Short (3–10s),Spatula discors
CA,163349,Brant Goose,Branta bernicla,2012-02-16,13:22:00,32.7802,-117.2154,0:03,https://xeno-canto.org/163349/download,https://xeno-canto.org/163349,https://creativecommons.org/licenses/by-nc-sa/3.0/,KEEP,none,False,False,False,False,False,55879,3.192,0.0361716635525226,0.5963060855865479,B,2012-02-16,13:22,2012-02-16 13:22:00,,True,True,True,2012.0,2.0,47.0,13.0,22.0,Winter,3,0.19200000000000017,Short (3–10s),Branta bernicla
